"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"67283099999","2024-01-01","-17.8555","36.869106","10.97","QUELIMANE, MZ","  84.0","21","  76.7","21","1011.4"," 7","999.9"," 0","  9.6","21","  8.0","21"," 13.0","999.9","  91.4","*","  74.3","*","99.99"," ","999.9","010000"
"67283099999","2024-01-02","-17.8555","36.869106","10.97","QUELIMANE, MZ","  82.0","24","  75.9","24","1011.6"," 8","999.9"," 0"," 10.2","24","  7.6","24"," 12.0","999.9","  89.6","*","  76.3"," ","99.99"," ","999.9","010000"
"67283099999","2024-01-03","-17.8555","36.869106","10.97","QUELIMANE, MZ","  80.4","24","  76.0","24","1011.5"," 8","999.9"," 0","  8.2","24","  7.3","24"," 15.0","999.9","  86.0","*","  77.0"," "," 0.55","E","999.9","010000"
"67283099999","2024-01-04","-17.8555","36.869106","10.97","QUELIMANE, MZ","  81.6","24","  73.0","24","1012.7"," 8","999.9"," 0"," 10.4","24","  5.3","24","  9.9","999.9","  88.2"," ","  72.7"," "," 0.00","I","999.9","000000"
"67283099999","2024-01-05","-17.8555","36.869106","10.97","QUELIMANE, MZ","  82.6","23","  72.9","23","1014.1"," 8","999.9"," 0"," 10.5","23","  6.0","23"," 11.1","999.9","  89.6","*","  75.2"," "," 0.00","I","999.9","000000"
"67283099999","2024-01-06","-17.8555","36.869106","10.97","QUELIMANE, MZ","  81.2","23","  74.4","23","1014.1"," 7","999.9"," 0","  8.3","23","  5.4","23","  9.9","999.9","  86.0","*","  74.5"," ","99.99"," ","999.9","110000"
"67283099999","2024-01-07","-17.8555","36.869106","10.97","QUELIMANE, MZ","  82.6","24","  74.1","24","1012.9"," 8","999.9"," 0"," 10.4","24","  4.1","24","  9.9","999.9","  87.8"," ","  77.0","*"," 0.00","I","999.9","000010"
"67283099999","2024-01-08","-17.8555","36.869106","10.97","QUELIMANE, MZ","  82.1","24","  76.5","24","1012.0"," 8","999.9"," 0","  9.6","24","  3.2","24","  8.0"," 20.0","  88.2","*","  76.5","*","99.99"," ","999.9","010010"
"67283099999","2024-01-09","-17.8555","36.869106","10.97","QUELIMANE, MZ","  83.5","24","  78.2","24","1011.4"," 8","999.9"," 0"," 10.4","24","  4.4","24"," 11.1","999.9","  89.6","*","  78.6"," ","99.99"," ","999.9","010010"
"67283099999","2024-01-10","-17.8555","36.869106","10.97","QUELIMANE, MZ","  85.0","21","  78.1","21","1010.5"," 8","999.9"," 0"," 10.7","21","  5.5","21"," 12.0","999.9","  93.2","*","  78.8","*","99.99"," ","999.9","010010"
