"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"08130099999","2024-01-01","41.5166666","-5.7333333","667.0","ZAMORA, SP","  43.3","24","  37.7","24","1022.0","24","942.8","24"," 12.2","24","  3.0","24","  6.0","999.9","  50.7"," ","  37.9","*"," 0.05","G","999.9","000000"
"08130099999","2024-01-02","41.5166666","-5.7333333","667.0","ZAMORA, SP","  49.9","24","  45.6","24","1018.1","24","940.2","24"," 11.4","24","  5.6","24","  8.9","999.9","  55.2","*","  43.2"," "," 0.01","G","999.9","010000"
"08130099999","2024-01-03","41.5166666","-5.7333333","667.0","ZAMORA, SP","  51.6","21","  49.0","21","1018.1","21","940.5","21"," 10.4","20","  3.8","21","  6.0","999.9","  54.5","*","  46.0","*"," 0.41","G","999.9","010000"
"08130099999","2024-01-04","41.5166666","-5.7333333","667.0","ZAMORA, SP","  46.1","24","  44.3","24","1015.0","24","936.8","24","  9.3","24","  1.7","24","  2.9","999.9","  51.1"," ","  43.0","*"," 0.02","G","999.9","010000"
"08130099999","2024-01-05","41.5166666","-5.7333333","667.0","ZAMORA, SP","  41.5","24","  37.0","24","1013.9","24","935.0","24"," 12.1","24","  4.1","24","  6.0","999.9","  48.0"," ","  36.0","*"," 0.13","G","999.9","010000"
"08130099999","2024-01-06","41.5166666","-5.7333333","667.0","ZAMORA, SP","  39.5","24","  32.8","24","1022.6","24","942.7","24"," 12.4","24","  3.1","24","  8.0","999.9","  50.9"," ","  34.0","*"," 0.01","G","999.9","000000"
"08130099999","2024-01-07","41.5166666","-5.7333333","667.0","ZAMORA, SP","  36.2","24","  30.5","24","1026.0","24","945.3","24"," 12.0","24","  1.4","24","  2.9","999.9","  48.7"," ","  28.8","*"," 0.00","G","999.9","000000"
"08130099999","2024-01-08","41.5166666","-5.7333333","667.0","ZAMORA, SP","  34.5","24","  30.6","24","1023.9","24","943.1","24"," 11.1","24","  1.7","24","  4.1","999.9","  42.4"," ","  25.5","*"," 0.00","G","999.9","010000"
"08130099999","2024-01-09","41.5166666","-5.7333333","667.0","ZAMORA, SP","  39.7","24","  36.9","24","1020.6","24","940.9","24"," 11.1","24","  2.5","24","  4.1","999.9","  44.2"," ","  37.0"," "," 0.02","G","999.9","010000"
"08130099999","2024-01-10","41.5166666","-5.7333333","667.0","ZAMORA, SP","  42.9","24","  40.9","24","1019.5","24","940.5","24"," 10.3","22","  2.8","24","  5.1","999.9","  46.9"," ","  39.0"," "," 0.01","G","999.9","011000"
"08130099999","2024-01-11","41.5166666","-5.7333333","667.0","ZAMORA, SP","  36.2","24","  33.9","24","1024.9","24","944.4","24"," 11.0","24","  2.9","24","  5.1","999.9","  42.3","*","  32.5","*"," 0.07","G","999.9","000000"
