"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"36839099999","2024-01-01","44.367","77.9","948.0","SARYOZEK, KZ","  27.8"," 8","  17.6"," 8","1025.1"," 8","911.3"," 8"," 17.1"," 8","  1.9"," 8","  3.9","999.9","  40.1"," ","  16.0"," "," 0.00","I","  4.7","000000"
"36839099999","2024-01-02","44.367","77.9","948.0","SARYOZEK, KZ","  31.6"," 8","  19.8"," 8","1027.0"," 8","913.8"," 8"," 17.1"," 8","  3.2"," 8","  5.8","999.9","  46.9"," ","  17.2","*"," 0.00","I","  4.7","000000"
"36839099999","2024-01-03","44.367","77.9","948.0","SARYOZEK, KZ","  16.0"," 7","   8.8"," 7","1031.6"," 7","914.4"," 7"," 16.3"," 7","  1.1"," 7","  1.9","999.9","  29.7"," ","  11.5"," "," 0.00","I","  3.5","000000"
"36839099999","2024-01-04","44.367","77.9","948.0","SARYOZEK, KZ","  26.2"," 8","  14.0"," 8","1021.4"," 8","907.6"," 8"," 19.4"," 8","  1.2"," 8","  1.9","999.9","  40.6"," ","  10.4"," "," 0.00","I","  3.1","000000"
"36839099999","2024-01-05","44.367","77.9","948.0","SARYOZEK, KZ","  35.3"," 8","  23.1"," 8","1020.5"," 8","908.8"," 8"," 21.7"," 8","  2.4"," 8","  3.9","999.9","  46.0"," ","  24.3"," "," 0.00","I","  3.1","000000"
"36839099999","2024-01-06","44.367","77.9","948.0","SARYOZEK, KZ","  33.4"," 8","  24.5"," 8","1022.0"," 8","909.9"," 8"," 21.7"," 8","  1.7"," 8","  3.9","999.9","  40.8"," ","  29.5"," "," 0.00","I","  2.8","000000"
"36839099999","2024-01-07","44.367","77.9","948.0","SARYOZEK, KZ","  32.4"," 8","  23.3"," 8","1022.0"," 8","909.6"," 8"," 21.7"," 8","  1.7"," 8","  1.9","999.9","  43.9"," ","  25.3"," "," 0.00","I","  2.4","000000"
"36839099999","2024-01-08","44.367","77.9","948.0","SARYOZEK, KZ","  35.5"," 8","  26.5"," 8","1023.4"," 8","911.5"," 8"," 17.1"," 8","  1.7"," 8","  3.9","999.9","  38.3"," ","  27.1"," "," 0.00","I","  2.0","000000"
"36839099999","2024-01-09","44.367","77.9","948.0","SARYOZEK, KZ","  37.3"," 8","  28.2"," 8","1018.7"," 8","907.7"," 8"," 21.7"," 8","  2.7"," 8","  3.9","999.9","  48.9"," ","  31.5"," "," 0.00","I","  1.2","000000"
"36839099999","2024-01-10","44.367","77.9","948.0","SARYOZEK, KZ","  42.8"," 8","  25.9"," 8","1011.9"," 8","902.8"," 8"," 21.7"," 8","  3.4"," 8","  7.8","999.9","  53.2"," ","  34.2"," "," 0.00","I","  0.8","000000"
"36839099999","2024-01-11","44.367","77.9","948.0","SARYOZEK, KZ","  32.6"," 7","  27.6"," 7","1016.9"," 7","905.0"," 7","  5.3"," 7","  3.1"," 7","  5.8","999.9","  42.6"," ","  19.8","*","99.99"," ","  0.8","001000"
"36839099999","2024-01-12","44.367","77.9","948.0","SARYOZEK, KZ","  22.3"," 7","  13.5"," 7","1025.4"," 7","910.3"," 7"," 20.4"," 7","  2.2"," 7","  3.9","999.9","  30.0"," ","  13.6"," "," 0.00","I","999.9","000000"
"36839099999","2024-01-13","44.367","77.9","948.0","SARYOZEK, KZ","  38.3"," 8","  27.3"," 8","1012.6"," 8","902.5"," 8"," 21.7"," 8","  2.9"," 8","  9.7","999.9","  49.1"," ","  18.3"," "," 0.00","I","  1.2","000000"
"36839099999","2024-01-14","44.367","77.9","948.0","SARYOZEK, KZ","  34.0"," 8","  25.5"," 8","1019.1"," 8","907.3"," 8"," 19.3"," 8","  3.4"," 8","  9.7","999.9","  46.2"," ","  24.6","*"," 0.00","I","  0.8","000000"
"36839099999","2024-01-15","44.367","77.9","948.0","SARYOZEK, KZ","  20.1"," 6","  17.0"," 6","1028.8"," 6","912.8"," 6","  4.1"," 6","  1.9"," 6","  5.8","999.9","  25.3"," ","  16.7","*","99.99"," ","999.9","001000"
