"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"A0735500241","2019-01-01","43.579","-90.913","394.1","VIROQUA MUNICIPAL AIRPORT, WI US","  21.0","24","  17.8","24","9999.9"," 0","974.2","24","  8.3","24","  7.3","24"," 14.0"," 20.0","  29.3","*","  13.1","*"," 0.00","I","999.9","000000"
"A0735500241","2019-01-02","43.579","-90.913","394.1","VIROQUA MUNICIPAL AIRPORT, WI US","  16.5","24","  14.6","24","9999.9"," 0","972.8","24","  8.5","24","  6.1","24"," 12.0"," 17.1","  23.0","*","   9.9","*"," 0.00","I","999.9","000000"
"A0735500241","2019-01-03","43.579","-90.913","394.1","VIROQUA MUNICIPAL AIRPORT, WI US","  23.1","24","  19.9","24","9999.9"," 0","965.6","24"," 10.0","24","  7.3","24"," 12.0","999.9","  35.8","*","  14.9","*"," 0.00","I","999.9","000000"
"A0735500241","2019-01-04","43.579","-90.913","394.1","VIROQUA MUNICIPAL AIRPORT, WI US","  33.7","24","  28.9","24","9999.9"," 0","961.0","24"," 10.0","24","  5.5","24","  9.9","999.9","  42.3","*","  26.6","*"," 0.00","I","999.9","000000"
"A0735500241","2019-01-05","43.579","-90.913","394.1","VIROQUA MUNICIPAL AIRPORT, WI US","  35.5","24","  31.7","24","9999.9"," 0","962.0","24","  9.8","24","  6.0","24","  8.9","999.9","  47.3","*","  27.9","*"," 0.00","I","999.9","000000"
"A0735500241","2019-01-06","43.579","-90.913","394.1","VIROQUA MUNICIPAL AIRPORT, WI US","  31.0","24","  29.0","24","9999.9"," 0","972.8","24","  9.9","24","  7.5","24"," 19.0"," 25.1","  38.8","*","  24.3","*"," 0.00","I","999.9","000000"
"A0735500241","2019-01-07","43.579","-90.913","394.1","VIROQUA MUNICIPAL AIRPORT, WI US","  35.6","19","  35.2","19","9999.9"," 0","960.7","19","  6.7","19"," 13.6","19"," 22.9"," 28.9","  39.7","*","  32.0","*"," 0.00","I","999.9","000000"
"A0735500241","2019-01-08","43.579","-90.913","394.1","VIROQUA MUNICIPAL AIRPORT, WI US","  32.3","20","  29.1","20","9999.9"," 0","962.4","20","  8.0","20"," 12.7","20"," 25.1"," 35.0","  35.8","*","  20.7","*"," 0.00","I","999.9","000000"
"A0735500241","2019-01-09","43.579","-90.913","394.1","VIROQUA MUNICIPAL AIRPORT, WI US","  14.6","24","   7.8","24","9999.9"," 0","975.9","24","  9.4","24"," 14.4","24"," 24.1"," 32.1","  20.3","*","   9.5","*"," 0.00","I","999.9","000000"
"A0735500241","2019-01-10","43.579","-90.913","394.1","VIROQUA MUNICIPAL AIRPORT, WI US","  13.5","21","   8.0","21","9999.9"," 0","981.6","21"," 10.0","21","  4.7","21","  9.9"," 14.0","  22.5","*","  10.2","*"," 0.00","I","999.9","000000"
"A0735500241","2019-01-11","43.579","-90.913","394.1","VIROQUA MUNICIPAL AIRPORT, WI US","  21.1","24","  16.6","24","9999.9"," 0","977.4","24"," 10.0","24","  6.6","24","  9.9","999.9","  28.0","*","  16.5","*"," 0.00","I","999.9","000000"
"A0735500241","2019-01-12","43.579","-90.913","394.1","VIROQUA MUNICIPAL AIRPORT, WI US","  28.3","24","  25.4","24","9999.9"," 0","978.1","24","  8.4","24","  7.1","24"," 13.0"," 17.1","  32.0","*","  27.0","*"," 0.00","I","999.9","000000"
"A0735500241","2019-01-13","43.579","-90.913","394.1","VIROQUA MUNICIPAL AIRPORT, WI US","  27.6","24","  24.3","24","9999.9"," 0","982.0","24"," 10.0","24","  7.1","24"," 20.0"," 24.1","  31.1","*","  24.8","*"," 0.00","I","999.9","000000"
